formula,en,Tc,hf,mass,Ref.
HfB2H,1.895,15,0.25,198.5218,doi.org/10.1063/5.0064011
HfBH2,1.935,14.9,0.5,93.8988,doi.org/10.1063/5.0064011
HgHf3H,1.62,1,0.2,730.2183,doi.org/10.1103/PhysRevLett.132.166001
HgN2H8,2.3345,0.01,0.7273,28.3487,doi.org/10.1063/5.0127365
HgN2H8,2.3345,12,0.7273,28.3487,doi.org/10.1063/5.0127365
In2MnH6,2.0344,45,0.6667,47.0532,doi.org/10.1016/j.mtphys.2024.101374
InC2H8,2.2255,20.1,0.7273,17.2175,doi.org/10.1038/s41524-024-01490-5
InC2H8,2.2255,35.6,0.7273,17.2175,doi.org/10.1038/s41524-024-01490-5
InC2H8,2.2255,35.1,0.7273,17.2175,doi.org/10.1038/s41524-024-01490-5
InN2H8,2.3145,22,0.7273,17.7125,doi.org/10.1063/5.0127365
InN2H8,2.3145,77,0.7273,17.7125,doi.org/10.1063/5.0127365
IrAl3H,1.846,27,0.2,270.998,doi.org/10.1103/PhysRevLett.132.166001
